annee,sexe,age3e,retard,secteur,acad,poids,score,plaisir,performance,estime_soi,anx_sociale,anx_echouer,anx_decevoir,anx_separer
2003,1,15.076712329,2,pu,20,0.2399989123,229.8996642,-1.08465107,-0.047403145,0.2426877574,2.0770450694,1.9959627854,1.0278241675,-0.510417908
2003,1,15.82739726,1,pu,20,0.2570894425,180.86464531,1.5081714385,1.2296757996,1.1647054588,1.2289929885,1.279329303,0.8086710218,1.3564266078
2003,2,14.989041096,2,pu,20,0.2380566764,206.72227428,0.8967461265,0.7496811883,0.2699554273,0.1066376552,0.3740299479,-0.059019946,0.5158963054
2003,2,14.989041096,2,pu,20,0.2380566764,187.45071755,1.7334178848,0.0450672164,1.4960056049,0.7302451082,1.1725749567,2.1043464178,0.6651784142
2003,2,14.906849315,2,pu,20,0.2380566764,236.0837656,0.6321696103,-0.210308034,0.4978691029,1.8432163127,1.7570849579,0.5872676573,1.0021546025
2003,1,14.320547945,2,pu,20,0.2399989123,300.4087406,1.997994401,0.0450672164,0.3030546912,1.6108414369,1.9959627854,1.0090292043,-1.387450013
2003,2,14.654794521,2,pu,20,0.2380566764,299.32181429,0.395870491,1.231716424,-0.994878223,0.0957895726,1.2271352344,-1.358602712,-1.387450013
2003,1,15.320547945,1,pu,20,0.2570894425,280.42443208,-0.358528988,0.269686577,0.5467202336,-0.990462981,0.3812707949,1.4528347243,1.7289495143
2003,1,14.736986301,2,pu,20,0.2399989123,201.80200941,0.395870491,0.300442467,0.5408886396,-0.130835877,0.9870743024,1.4536632999,-0.435776854
2003,1,14.98630137,2,pu,20,0.2399989123,208.35454672,1.4418439273,-0.752017117,0.5524044426,1.1986396348,0.8887439077,2.1043464178,2.4192426238
